module,external_package
c2_data_preparation_sampling,importlib
c2_data_preparation_sampling,os
c2_data_preparation_sampling,re
c2_data_preparation_sampling,tiktoken
c2_data_preparation_sampling,torch
c2_data_preparation_sampling,urllib
c3_coding_attention_mechanismus,torch
c4_implementing_gpt_model,tiktoken
c4_implementing_gpt_model,torch
c5_gpt_download,json
c5_gpt_download,numpy
c5_gpt_download,os
c5_gpt_download,tensorflow
c5_gpt_download,tqdm
c5_gpt_download,urllib
c5_pretraining_unlabeld_data_erweitert,math
c5_pretraining_unlabeld_data_erweitert,numpy
c5_pretraining_unlabeld_data_erweitert,os
c5_pretraining_unlabeld_data_erweitert,tiktoken
c5_pretraining_unlabeld_data_erweitert,time
c5_pretraining_unlabeld_data_erweitert,torch
c5_pretraining_unlabeld_data_erweitert,urllib
c5_pretraining_unlabeld_data_erweitert,wandb
c7_finetuning_follow_instruction_model,functools
c7_finetuning_follow_instruction_model,json
c7_finetuning_follow_instruction_model,os
c7_finetuning_follow_instruction_model,psutil
c7_finetuning_follow_instruction_model,re
c7_finetuning_follow_instruction_model,tiktoken
c7_finetuning_follow_instruction_model,time
c7_finetuning_follow_instruction_model,torch
c7_finetuning_follow_instruction_model,tqdm
c7_finetuning_follow_instruction_model,urllib
